Paper#,Citation,No.citations,About,Focus,Location,Abstract
43,"Vasemagi, A, Gross, R, Paaver, T, Koljonen, ML, Nilsson, J, Vasemägi, A, & Koljonen, M-L. (2005). Extensive immigration from compensatory hatchery releases into wild Atlantic salmon population in the Baltic sea: Spatio-temporal analysis over 18 years. Heredity., 95(1), 76-83.",49,Immigration and genetic homogenization from hatchery Atlantic salmon in the Baltic Sea.,Risk,Baltic Sea,"Genetic homogenization has been recognized as a serious threat in an increasing number of species, including many salmonid fishes. We assessed the rate and impact of immigration from the main hatchery stocks of Atlantic salmon in the Gulf of Bothnia into one of the largest wild salmon populations in the Baltic Sea, the River Vindelalven, within a temporal framework of 18 years (from 1985-2003). We provide genetic evidence based on mtDNA and microsatellite markers, using mixed-stock analysis, that a large proportion (66%) of fin-damaged spawners (n=181) caught in the Ume/Vindelalven during 1997-2003 originated from the hatcheries in the Rivers Angermanalven, Lulealven and Ljusnan. The maximum-likelihood estimate of immigration rate from these hatcheries into the wild Vindelalven population was 0.068 (95% CI 0.021-0.128) over the studied time period (1985-2003) and reached up to a quarter (m=0.249, 95% CI 0.106-0.419) of the total population during 1993-2000. This resulted in significant (P<0.01) genetic homogenization trend between the wild Vindelalven population and hatchery stocks of the Angermanalven and Lulealven. Our results demonstrate extensive straying from geographically distant hatchery releases into wild salmon population and emphasize the genetic risks associated with current large-scale stocking practices in the Baltic Sea."
44,"Ruggerone, G., & Irvine, J. (2018). Numbers and Biomass of Natural‐ and Hatchery‐Origin Pink Salmon, Chum Salmon, and Sockeye Salmon in the North Pacific Ocean, 1925–2015. Marine and Coastal Fisheries, 10(2), 152-168.",49,"Demographics of salmon (species, origin, etc) across the Pacific for 1925-2015.",Neutral,Pacific,"Numerical abundance and biomass values presented here for Pink Salmon Oncorhynchus gorbuscha, Chum Salmon O. keta, and Sockeye Salmon O. nerka in the North Pacific Ocean span 90years (1925-2015), representing the most comprehensive compilation of these data to date. In contrast to less populous species of salmon, these species are more abundant now than ever, averaging 665x10(6) adult salmon each year (1.32x10(6)metric tons) during 1990-2015. When immature salmon are included, recent biomass estimates approach 5x10(6)metric tons. Following an initial peak during 1934-1943, abundances were low until the 1977 regime shift benefited each species. During 1990-2015, Pink Salmon dominated adult abundance (67% of total) and biomass (48%), followed by Chum Salmon (20%, 35%) and Sockeye Salmon (13%, 17%). Alaska produced approximately 39% of all Pink Salmon, 22% of Chum Salmon, and 69% of Sockeye Salmon, while Japan and Russia produced most of the remainder. Although production of natural-origin salmon is currently high due to generally favorable ocean conditions in northern regions, approximately 60% of Chum Salmon, 15% of Pink Salmon, and 4% of Sockeye Salmon during 1990-2015 were of hatchery origin. Alaska generated 68% and 95% of hatchery Pink Salmon and Sockeye Salmon, respectively, while Japan produced 75% of hatchery Chum Salmon. Salmon abundance in large areas of Alaska (Prince William Sound and Southeast Alaska), Russia (Sakhalin and Kuril islands), Japan, and South Korea are dominated by hatchery salmon. During 1990-2015, hatchery salmon represented approximately 40% of the total biomass of adult and immature salmon in the ocean. Density-dependent effects are apparent, and carrying capacity may have been reached in recent decades, but interaction effects between hatchery- and natural-origin salmon are difficult to quantify, in part because these fish are rarely separated in catch and escapement statistics. The following management changes are recommended: (1) mark or tag hatchery salmon so that they can be identified after release, (2) estimate hatchery- and natural-origin salmon in catches and escapement, and (3) maintain these statistics in publicly accessible databases."
45,"Campton, D. (2004). Sperm Competition in Salmon Hatcheries: The Need to Institutionalize Genetically Benign Spawning Protocols. Transactions of the American Fisheries Society., 133(5), 1277-1289.",51,Recommendations for best practices for fertilization of hatchery salmon.,Risk,"Pacific Northwest, USA","Salmon hatcheries in the Pacific Northwest historically spawned adults by combining eggs from several females and milt from several males in a single container. This mixed-milt approach leads to significant sperm competition and highly unequal genetic contributions from male spawners. Sperm competition substantially reduces the genetic effective number of breeders (N-b) relative to the actual number of spawners (N-x). Sperm competition in vitro can also result in undesirable artificial selection for life history traits (e.g., age or size at maturity) that are correlated phenotypically with sperm potency and fertilization success. A large number of salmon hatcheries in the Pacific Northwest, particularly those within some state agencies, continue to use mixed-milt fertilization despite documented genetic effects and potential risks. The continued use of mixed-milt fertilization may be due, in part, to insufficient genetic oversight of hatchery operations. As a general rule, salmon hatcheries should discontinue mixed-milt fertilization and institutionalize alternative spawning protocols that preclude or minimize sperm competition in vitro. Three alternative protocols are described here: pairwise spawning, nested spawning, and factorial or matrix spawning. The underlying premise of these alternative protocols is that every adult selected for use as broodstock should have an equal opportunity-and an equal probability-of producing progeny. A goal of most hatchery programs should be to minimize genetic change between the pool of returning adults available for broodstock each year and the progeny of parents selected as broodstock from that pool. To achieve this goal, spawning protocols should maximize N-b and minimize artificial selection associated with hatchery propagation. Such goals may require increased genetic oversight of hatchery operations comparable to the level of fish health oversight (pathogen monitoring and disease prevention) currently practiced in salmon hatcheries throughout the Pacific Northwest."
46,"Levin, PS, Williams, JG, Levin, Phillip S, & Williams, John G. (2002). Interspecific Effects of Artifically Propagated Fish: An Additional Conservation Risk for Salmon. Conservation Biology : The Journal of the Society for Conservation Biology., 16(6), 1581-1587.",46,Effect of steelhead hatchery releases on wild chinook populations.,Risk,"Washington, USA","For more than 120 years, hatcheries have released enormous numbers of Pacific salmon to compensate for numerous human insults to their populations, yet the ecological effects of this massive effort are poorly understood. We tested the hypothesis that hatchery-reared steelhead salmon ( Oncorhynchus mykiss) released into the Snake River Basin negatively affect the survival of wild Snake River steelhead and chinook (O. tshawytscha) salmon. Because climatic conditions can influence salmon survival, we included an index of the El Nino-Southern Oscillation (ENSO) as a covariate in our analyses. Based on time series of hatchery releases and rates of smolt-to-adult survival, we demonstrate that the survival of wild chinook salmon is negatively associated with hatchery releases of steelhead. The state of the ( ENSO) did not affect the strength of this relationship. We observed no relationship between survival of wild steelhead and steelhead hatchery releases. Our results suggest that industrial-scale production of hatchery fish may hinder the recovery of some threatened salmonids and that the potential interspecific impact of hatcheries must be considered as agencies begin the process of hatchery reform."
47,"Lewis, Bert, Grant, W. Stewart, Brenner, Richard E., Hamazaki, Toshihide, Grant, W Stewart, & Brenner, Richard E. (2015). Changes in Size and Age of Chinook Salmon Oncorhynchus tshawytscha Returning to Alaska. PloS One., 10(6), E0130184.",45,"Trends in sizes of Pacific salmon off the coast of AK, USA.",Neutral,"Alaska, USA","The average sizes of Pacific salmon have declined in some areas in the Northeast Pacific over the past few decades, but the extent and geographic distribution of these declines in Alaska is uncertain. Here, we used regression analyses to quantify decadal trends in length and age at maturity in ten datasets from commercial harvests, weirs, and spawner abundance surveys of Chinook salmon Oncorhynchus tshawytscha throughout Alaska. We found that on average these fish have become smaller over the past 30 years (similar to 6 generations), because of a decline in the predominant age at maturity and because of a decrease in age-specific length. The proportion of older and larger 4-ocean age fish in the population declined significantly (P < 0.05) in all stocks examined by return year or brood year. Our analyses also indicated that the age-specific lengths of 4-ocean fish (9 of 10 stocks) and of 3-ocean fish (5 of 10 stocks) have declined significantly (P < 0.05). Size-selective harvest may be driving earlier maturation and declines in size, but the evidence is not conclusive, and additional factors, such as ocean conditions or competitive interactions with other species of salmon, may also be responsible. Regardless of the cause, these wide-spread phenotypic shifts influence fecundity and population abundance, and ultimately may put populations and associated fisheries at risk of decline."
48,"Ford, M., Murdoch, A., & Howard, S. (2012). Early male maturity explains a negative correlation in reproductive success between hatchery-spawned salmon and their naturally spawning progeny. Conservation Letters., 5(6), 450-458.",42,Wild spawning success for captive salmon and progeny.,Risk,"Washington, USA","Adaptation of plants or animals to captivity is a risk associated with any captive breeding program that has the intent of returning organisms to the wild. The risk is particularly acute for species that are captively bred and released on a large scale, as is the case for many species of fish. Several studies, particularly in salmonids, have reported rapid adaptation of populations to captivity, but the mechanisms of such adaptations are not always clear. We evaluated a large three-generation pedigree of an artificially supplemented salmon population, and found that the fish with the highest reproductive success in captivity produce early maturing male offspring that have lower than average reproductive success in the wild. In contrast to an earlier study of steelhead trout, we found little evidence that parental origin of the captive spawners influenced the subsequent reproductive success of their naturally spawning progeny."
49,"Deriso, Richard B., Maunder, Mark N., Pearson, Walter H., Deriso, Richard B, Maunder, Mark N, & Pearson, Walter H. (2008). INCORPORATING COVARIATES INTO FISHERIES STOCK ASSESSMENT MODELS WITH APPLICATION TO PACIFIC HERRING. Ecological Applications, 18(5), 1270-1286.",41,"Modeling factors affecting fishery declines, with example case of Pacific herring.",Risk,"Alaska, USA","We present a framework for evaluating the cause of fishery declines by integrating covariates into a fisheries stock assessment model. This allows the evaluation of fisheries' effects vs. natural and other human impacts. The analyses presented are based on integrating ecological science and statistics and form the basis for environmental decision-making advice. Hypothesis tests are described to rank hypotheses and determine the size of a multiple covariate model. We extend recent developments in integrated analysis and use novel methods to produce effect size estimates that are relevant to policy makers and include estimates of uncertainty. Results can be directly applied to evaluate trade-offs among alternative management decisions. The methods and results are also broadly applicable outside. sheries stock assessment. We show that multiple factors influence populations and that analysis of factors in isolation can be misleading. We illustrate the framework by applying it to Pacific herring of Prince William Sound, Alaska ( USA). The Pacific herring stock that spawns in Prince William Sound is a stock that has collapsed, but there are several competing or alternative hypotheses to account for the initial collapse and subsequent lack of recovery. Factors failing the initial screening tests for statistical significance included indicators of the 1989 Exxon Valdez oil spill, coho salmon predation, sea lion predation, Pacific Decadal Oscillation, Northern Oscillation Index, and effects of containment in the herring egg-on-kelp pound fishery. The overall results indicate that the most statistically significant factors related to the lack of recovery of the herring stock involve competition or predation by juvenile hatchery pink salmon on herring juveniles. Secondary factors identified in the analysis were poor nutrition in the winter, ocean (Gulf of Alaska) temperature in the winter, the viral hemorrhagic septicemia virus, and the pathogen Ichthyophonus hoferi. The implication of this result to. sheries management in Prince William Sound is that it may well be difficult to simultaneously increase the production of pink salmon and maintain a viable Pacific herring fishery. The impact can be extended to other commercially important. sheries, and a whole ecosystem approach may be needed to evaluate the costs and benefits of salmon hatcheries."
50,"Yamamoto, T, Reinhardt, UG, Yamamoto, Toshiaki, & Reinhardt, Ulrich G. (2003). Dominance and predator avoidance in domesticated and wild masu salmon Oncorhynchus masou. Fisheries Science : FS., 69(1), 88-94.",41,Behavioral difference between farmed and wild type masu salmon.,Neutral,Japan,"Dominance, aggression and predator avoidance were compared among farmed, sea-ranched and wild juvenile masu salmon Oncorhynchus masou in laboratory experiments. Domesticated fish (farmed and sea-ranched), which had been exposed to artificial selection, were not dominant against wild fish in pairwise contests, nor did they show greater aggressiveness. Farmed fish did show greater feeding than wild fish. Under chemically simulated predation risk, farmed fish were more willing to leave cover and feed than wild fish, indicating reduced predator avoidance in the farmed fish. Our results indicate that selection for fast growth (domestication) in masu salmon favors fish that respond to food quickly and ignore predation risk."
51,"Ratner, S, Lande, R, Roper, BB, Ratner, Susan, Lande, Russell, & Roper, Brett B. (1997). Population Viability Analysis of Spring Chinook Salmon in the South Umpqua River, Oregon. Analisis de Viabilidad Poblacional del Salmon Chinook de Primavera en el rio South Umpqua, Oregon. Conservation Biology : The Journal of the Society for Conservation Biology., 11(4), 879-889.",46,Modelling population dynamics of spring chinook in Oregon.,Neutral,"Oregon, USA","Run sizes of spring chinook salmon in the South Umpqua River in Oregon have declined dramatically since the early part of this century. Habitat degradation is thought to be an important factor contributing to the decline of this stock, and qualitative assessment suggests the stock is at moderate risk of extinction. We use data from this and similar stocks to develop an age-structured, density-dependent model of the population dynamics that incorporates both demographic and environmental stochasticity. Under the assumption of no further habitat destruction, the population is predicted to have a greater than 95% probability of persistence for 200 years. However, sensitivity analysis for the density-dependence estimated from historical run-return data shows that substantially lower predicted viabilities are also statistically consistent with the data. A model that stimulates continued habitat degradation results in almost certain extinction within 100 years."
52,"Bjorn, Pal Arne, Sivertsgard, Rolf, Finstad, Bengt, Nilsen, Rune, Serra-Llinares, Rosa Maria, Kristoffersen, Roar, . . . Kristoffersen, R. (2011). Area protection may reduce salmon louse infection risk to wild salmonids. Aquaculture Environment Interactions : International and Multidisciplinary Journal., 1(3), 233-244.",39,Sea louse prevelence within and outside of farming-free zones.,Risk,Norway,"Salmon louse Lepeophtheirus salmonis Kroyer infection levels in both wild sea trout Salmo trutta L. and sentinel Atlantic salmon Salmo salar L. smolts were investigated inside and outside a temporary protected zone with limits on fish farming in the intensively farmed Romsdalsfjord system. Wild sea trout outside the protected zone had higher prevalence and significantly higher abundances than those inside the zone. Furthermore, sentinel caged Atlantic salmon smolts confirmed significant differences in infection pressure: Eresfjord (non-farmed inner part of the protected zone) had the lowest infection risk, a moderate risk was found in Langfjord (intermediately farmed middle part of the protected zone), while Karlsoyfjord (intensively farmed area outside the protected zone) had the highest infection risk. No clear bias between the near-shore and pelagic areas of the fjord were found, although significant differences between pelagic and near-shore cages were occasionally observed. Results show that small sentinel cages can be used as an alternative method to monitor the infection pressure in a fjord system. Overall, our results indicate that wild salmonids may benefit from the protection zone. However, the infection level on wild sea trout inside the temporary protected zone was higher compared to completely farm-free fjords in Norway, and infection levels likely to have a negative physiological impact on wild sea trout were found. This may indicate that the zone is too small to have the necessary protective effect against salmon lice."
53,"Honea, Jon M., Jorgensen, Jeffrey C., McClure, Michelle M., Cooney, Thomas D., Engie, Kim, Holzer, Damon M., . . . Hilborn, Ray. (2009). Evaluating habitat effects on population status: Influence of habitat restoration on spring-run Chinook salmon. Freshwater Biology., 54(7), 1576-1592.",39,Modelling chinook population responses to habitat restoration activities.,Neutral,"Washington, USA","1. A key element of conservation planning is the extremely challenging task of estimating the likely effect of restoration actions on population status. To compare the relative benefits of typical habitat restoration actions on Pacific salmon (Oncorhynchus spp.), we modelled the response of an endangered Columbia River Chinook salmon (O. tshawytscha) population to changes in habitat characteristics either targeted for restoration or with the potential to be degraded. 2. We applied a spatially explicit, multiple life stage, Beverton-Holt model to evaluate how a set of habitat variables with an empirical influence on spring-run Chinook salmon survivorship influenced fish population abundance, productivity, spatial structure and diversity. Using habitat condition scenarios - historical conditions and future conditions with restoration, no restoration, and degradation - we asked the following questions: (i) how is population status affected by alternative scenarios of habitat change, (ii) which individual habitat characteristics have the potential to substantially influence population status and (iii) which life stages have the largest impact on population status? 3. The difference in population abundance and productivities resulting from changes in modelled habitat variables from the 'historical' to 'current' scenarios suggests that there is substantial potential for improving population status. Planned restoration actions directed toward modelled variables, however, produced only modest improvements. 4. The model predicted that population status could be improved by additional restoration efforts directed toward further reductions in the percentage of fine sediments in the streambed, a factor that has a large influence on egg survival. Actions reducing fines were predicted to be especially effective outside the national forest that covers most of the basin. Scenarios that increased capacity by opening access to habitat in good condition also had a positive but smaller effect on spawner numbers. 5. Degradation in habitat quality, particularly in percent fine sediments, within stream reaches located in the national forest had great potential to further reduce this population's viability. This finding supports current forest planning efforts to minimise road density and clear-cut harvests and to return forest stand structure in dry regions to the historical condition that promoted frequent low-intensity fires rather than catastrophic stand-replacing fires, as these landscape factors have been shown to influence percent fine sediment in streams. 6. Together, these results suggest that planning focusing on protecting currently good habitat, reducing fine sediments to promote egg survival and increasing spawner capacity will be beneficial to endangered spring-run Chinook population status."
54,"Arechavala-Lopez, P., Sanchez-Jerez, P., Bayle-Sempere, J. T., Uglem, I., Mladineo, I., Arechavala-Lopez, P, . . . Mladineo, I. (2013). Reared fish, farmed escapees and wild fish stocks—a triangle of pathogen transmission of concern to Mediterranean aquaculture management. Aquaculture Environment Interactions : International and Multidisciplinary Journal., 3(2), 153-161.",39,Disease propagation in finfish aquaculture,Risk,Mediterranean,"Although aquaculture in the Mediterranean is a relatively young industry, finfish diseases have been reported to cause considerable problems and mortalities among the farmed stocks. In general, the farming activity and the open design of Mediterranean aquaculture systems allow the transmission of infectious pathogens within and among farm facilities. Fish health and biosecurity programmes at farms have focused on the most obvious pathways for transmission of pathogens, i.e. through transport of infected farmed fish from hatcheries, infected equipment, staff and vessels, as well as through water currents. However, little attention has been devoted to the potential risk of pathogen and disease transmission in Mediterranean open-sea aquaculture through movements of fish. The present study focuses on the importance of considering possible pathogen transmission between reared fish, farmed escapees and farm-aggregated fish when making management decisions."
55,"Goodman, D. (2005). Selection equilibrium for hatchery and wild spawning fitness in integrated breeding programs. Canadian Journal of Fisheries and Aquatic Sciences, 62(2), 374-389.",38,Phenotypic evolution based on integrated hatchery practice,Neutral,N/A,"Some salmon hatchery programs intentionally integrate the wild and hatchery population by taking naturally spawned fish as some fraction of the broodstock and allowing hatchery progeny to constitute some fraction of the adults spawning in the wild. This circumvents some ecological concerns about the effects of hatchery fish on the ""wild"" population while still reaping some of the benefits of increased potential for harvest, but it increases some genetic concerns. Here, we model phenotypic evolution in the integrated population to investigate the effects on natural spawning fitness at the joint selection and demographic equilibrium. We find a potential, but not a certainty, depending on quantitative aspects of the management interacting with biological characteristics of the stock, for substantial erosion of natural spawning fitness, compared with the original wild population, including the possibility of runaway selection driving natural spawning fitness effectively to zero. The vulnerability to such evolutionary deterioration increases with the magnitude of the contribution of hatchery breeding to the total production and increases with harvest. The response of the selection equilibrium to increasing contribution of hatchery progeny to the broodstock can exhibit a catastrophic discontinuity."
56,"Hawkins, Lorraine A., Magurran, Anne E., Armstrong, John D., Hawkins, Lorraine A, Magurran, Anne E, & Armstrong, John D. (2008). Ontogenetic learning of predator recognition in hatchery-reared Atlantic salmon, Salmo salar. Animal Behaviour., 75(5), 1663-1671.",36,Effect of hatchery rearing on innate behaviors,Neutral,"Scotland, United Kingdom","The goal of 'life skills training' is to improve survival of captive-reared animals after release to the wild. Our study tested the hypothesis that learned predator recognition in hatchery-reared fish is favoured at ecologically appropriate periods during ontogeny. We began by asking whether the innate response of Atlantic salmon to predator odour (from high- and low-risk predators) declines during hatchery rearing. Next, we used classical conditioning to assess the capacity of fish in different age groups to learn to recognize predator odour. The first experiment showed that innate predator recognition is retained by fish for at least 8 months in a hatchery environment. However, the response of 10- to 15-week-old salmon to predator odour was significantly greater than that of younger (3-week-old) or older (28- to 36-week-old). fish. This is consistent with a period of heightened receptivity to predator odour cues. The second experiment provided evidence for age-dependent learning because salmon aged 16-20 weeks showed learned predator recognition abilities, whereas 3-week-old fish relied on innate responses. The onset of learning occurred at the age when wild fish undergo a habitat shift that greatly increases their encounters with predators. Future attempts to improve predator recognition skills of fish should take greater account of life history and focus on the ontogenetic stage where learning is favoured. Crown Copyright (c) 2007 Published by Elsevier Ltd on behalf of The Association for the Study of Animal Behaviour. All rights reserved."
